Index,Statement,Source ,Source (URL),Date + time,True/False,Evidence (why true?),Category
659,"Der Impfstoff kann eine Covid-19-Erkrankung verschlimmern, statt vor ihr zu schützen.",BR24,"https://www.br.de/nachrichten/wissen/fake-news-ticker-falschmeldungen-zu-corona-im-faktencheck,SHosxOL",2021-07-19 16-21,FALSE,Lack of understanding complex medical/biological topics,Consequences of vaccination
438,"Vorläufige Erkenntnisse deuten darauf hin, dass Long-COVID schwere Auswirkungen auf die psychische Gesundheit, die Lebensqualität, das soziale Leben und das Familienleben haben kann.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
842,Bewohner eines Pfelgeheims der Diakonie in Sachsen sind zur Corona-Impfung verpflichtet,Facts For Friends,https://www.factsforfriends.de/fact/5ff85b479a0cd3000dcd6870,2021-01-08,FALSE,Falsche Behauptung,Vaccination mandate
498,Kinder mit Vorerkrankungen sollen weiterhin eine Grundimmunisierung mit 2 Impfungen sowie eine Auffrischimpfung erhalten.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-11,TRUE,,
490,"Darüber hinaus sind Abstand halten, Maske tragen und Lüften weitere wichtige Maßnahmen, um die Verbreitung von SARS-CoV-2 zu reduzieren.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-03,TRUE,,
998,"Das Virus ist ein Mittel, um die Folgen der globalen Erwärmung zu verschleiern",Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemiee,2022-07-02 08-58,FALSE,Falsche Behauptung,Politics
209,"Tritt die Corona-Infektion allerdings in einem Abstand von weniger als 3 Monaten nach der Grundimmunisierung auf, ist zunächst keine Auffrischungsimpfung nötig.",BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-14,TRUE,Expert panel (appointed by Government),infection and vaccination
203,"Da neue Studienergebnisse zeigen, dass die Immunantwort nach einem heterologem Impfschema (erste Impfung mit Vaxzevria® von AstraZeneca /zweite Impfung mit einem mRNA-Impfstoff) deutlich besser ist, als die Immunantwort nach einer homologen Vaxzevria®-Impfserie (zwei Impfstoffdosen)",BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-13,TRUE,Expert panel (appointed by Government),efficacy
395,Die vorliegenden Studien zeigen eine hohe Wirksamkeit der mRNA-Impfstoffe bei Schwangeren.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-04-28,TRUE,,
287,"Die impfenden niedergelassenen Ärzt:innen müssen täglich die Gesamtzahl der durchgeführten Impfungen je Impfstoff nach erster und zweiter Impfung, erster und zweiter Auffrischimpfung sowie unterteilt nach Altersgruppen (5-11 Jahre, 12-17 Jahre, 18-59 Jahre und ab 60 Jahre) an das RKI übermitteln.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-22,TRUE,,
